UID          PID    PPID  C STIME TTY          TIME CMD
muhammad    6223    3096  9 20:47 ?        00:03:18 /usr/lib/firefox/firefox
muhammad    6288    6223  0 20:47 ?        00:00:00 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20221215175817 -prefsLen 26365 -prefMapSize 227197 -appDir /usr/lib/firefox/browser {cbdf65dc-8c56-4736-892e-5d84fa3d9925} 6223 true socket
muhammad    6558    6223  0 20:47 ?        00:00:01 /usr/lib/firefox/firefox-bin -contentproc -childID 1 -isForBrowser -prefsLen 26441 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {db65eee8-f769-4231-9e18-5be2f2cfebcf} 6223 true tab
muhammad    6841    6223  0 20:47 ?        00:00:00 /usr/lib/firefox/firefox-bin -contentproc -childID 5 -isForBrowser -prefsLen 31868 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {0b49a173-d5c4-42fd-8c5b-d638b89c63cd} 6223 true tab
muhammad    6986    6223  2 20:47 ?        00:01:03 /usr/lib/firefox/firefox-bin -contentproc -childID 7 -isForBrowser -prefsLen 31982 -prefMapSize 227197 -jsInitLen 246772 -parentBuildID 20221215175817 -appDir /usr/lib/firefox/browser {f3842a14-d5f3-4687-b94e-9cc0c5b51a3d} 6223 true tab
muhammad    7103    6223  0 20:47 ?        00:00:09 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20221215175817 -prefsLen 31982 -prefMapSize 227197 -appDir /usr/lib/firefox/browser {349db613-d24a-43f9-a4e0-8b84ad040c0f} 6223 true rdd
muhammad    7112    6223  0 20:47 ?        00:00:12 /usr/lib/firefox/firefox-bin -contentproc -parentBuildID 20221215175817 -sandboxingKind 0 -prefsLen 31982 -prefMapSize 227197 -appDir /usr/lib/firefox/browser {334ec11b-fc50-4269-9417-6e48e70a7bf6} 6223 true utility
muhammad    9891    2573  0 20:50 ?        00:00:03 /usr/libexec/gnome-terminal-server
muhammad    9920    9891  0 20:50 pts/0    00:00:00 bash
muhammad    9966    3096  0 20:50 ?        00:00:06 nemo
muhammad   10068    3096  2 20:50 ?        00:00:44 /opt/google/chrome/chrome
muhammad   10074   10068  0 20:50 ?        00:00:00 cat
muhammad   10075   10068  0 20:50 ?        00:00:00 cat
muhammad   10185       1  0 20:50 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/muhammad/.config/google-chrome/Crash Reports --metrics-dir=/home/muhammad/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Linux Mint 21.1 --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=113.0.5672.126 --initial-client-fd=5 --shared-client-connection
muhammad   10187       1  0 20:50 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/muhammad/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Linux Mint 21.1 --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=113.0.5672.126 --initial-client-fd=4 --shared-client-connection
muhammad   10193   10068  0 20:50 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable
muhammad   10194   10068  0 20:50 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable
muhammad   10198   10194  0 20:50 ?        00:00:00 /opt/google/chrome/nacl_helper
muhammad   10201   10194  0 20:50 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable
muhammad   10222   10193  0 20:50 ?        00:00:14 /opt/google/chrome/chrome --type=gpu-process --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   10227   10068  0 20:50 ?        00:00:17 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   10238   10201  0 20:50 ?        00:00:00 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   10400   10201  0 20:50 ?        00:00:08 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --extension-process --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=360107634 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
muhammad   10410   10201  0 20:50 ?        00:00:02 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=10185 --enable-crash-reporter=4616b1ac-9551-49f8-9989-47e0625676ab, --extension-process --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1686768276904141 --launch-time-ticks=360695696 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,9277998271093006538,9072434835498019239,262144
